model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_features_1d,0,1,accuracy,0.7947368421052632,0.8473684210526315,0.05263157894736836,0.7947368421052632,0.8473684210526315,0.9096385542168675,0.9698795180722891,0.0,0.0,0.0,0.0,,transfer,
cnn_features_1d,0,2,accuracy,0.8210526315789474,0.8263157894736842,0.0052631578947368585,0.8210526315789474,0.8263157894736842,0.9341317365269461,0.9401197604790419,0.0,0.0,0.0,0.0,,transfer,
cnn_features_1d,0,3,accuracy,0.8210526315789474,0.8210526315789474,0.0,0.8210526315789474,0.8210526315789474,0.9873417721518988,0.9873417721518988,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,1,0,accuracy,0.7478991596638656,0.7605042016806722,0.012605042016806678,0.7478991596638656,0.7605042016806722,0.9319371727748691,0.9476439790575916,0.0,0.0,0.0,0.0,,transfer,
cnn_features_1d,1,2,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,1,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,2,0,accuracy,0.4392523364485981,0.4392523364485981,0.0,0.4392523364485981,0.4392523364485981,0.9894736842105263,0.9894736842105263,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,2,1,accuracy,0.36398467432950193,0.36398467432950193,0.0,0.36398467432950193,0.36398467432950193,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,2,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,3,0,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,3,1,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d,3,2,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
