model,source,target,comparison_metric,baseline_score,transfer_score,improvement,raw_transfer_score,raw_improvement,baseline_accuracy,transfer_accuracy,raw_transfer_accuracy,baseline_common_acc,transfer_common_acc,raw_transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,raw_transfer_outlier_acc,baseline_hscore,transfer_hscore,raw_transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note,outlier_label_index_used,baseline_outlier_support,transfer_outlier_support
cnn_openmax,0,1,accuracy,0.37894736842105264,0.8631578947368421,0.4842105263157895,0.8631578947368421,0.4842105263157895,0.37894736842105264,0.8631578947368421,0.8631578947368421,0.43373493975903615,0.9879518072289156,0.9879518072289156,0.000000,0.000000,0.0,0.433735,0.987952,0.0,0.20000270135994805,transfer,,9,0,0
cnn_openmax,0,2,accuracy,0.5,0.8789473684210526,0.3789473684210526,0.8789473684210526,0.3789473684210526,0.5,0.8789473684210526,0.8789473684210526,0.5688622754491018,1.0,1.0,0.000000,0.000000,0.0,0.568862,1.000000,0.0,0.2024932228163571,transfer,,9,0,0
cnn_openmax,0,3,accuracy,0.8035087719298246,0.8315789473684211,0.028070175438596467,0.8315789473684211,0.028070175438596467,0.8035087719298246,0.8315789473684211,0.8315789473684211,0.9662447257383966,1.0,1.0,0.000000,0.000000,0.0,0.966245,1.000000,0.0,0.13477341821866534,transfer,,9,0,0
cnn_openmax,1,0,accuracy,0.6848739495798319,0.7521008403361344,0.0672268907563025,0.7521008403361344,0.0672268907563025,0.6848739495798319,0.7521008403361344,0.7521008403361344,0.8534031413612565,0.93717277486911,0.93717277486911,0.000000,0.000000,0.0,0.853403,0.937173,0.0,0.22677202330229163,transfer,,9,0,0
cnn_openmax,1,2,accuracy,0.37894736842105264,0.5052631578947369,0.12631578947368421,0.5052631578947369,0.12631578947368421,0.37894736842105264,0.5052631578947369,0.5052631578947369,0.75,1.0,1.0,0.000000,0.000000,0.0,0.750000,1.000000,0.0,0.44255061046171346,transfer,,9,0,0
cnn_openmax,1,3,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.5995199999209339,baseline,baseline_kept,9,0,0
cnn_openmax,2,0,accuracy,0.42990654205607476,0.4439252336448598,0.014018691588785048,0.4439252336448598,0.014018691588785048,0.42990654205607476,0.4439252336448598,0.4439252336448598,0.968421052631579,1.0,1.0,0.000000,0.000000,0.0,0.968421,1.000000,0.0,0.26797271094385045,transfer,,9,0,0
cnn_openmax,2,1,accuracy,0.36398467432950193,0.36398467432950193,0.0,0.36398467432950193,0.0,0.36398467432950193,0.36398467432950193,0.36398467432950193,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.220595708641427,baseline,baseline_kept,9,0,0
cnn_openmax,2,3,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.40792524310139316,baseline,baseline_kept,9,0,0
cnn_openmax,3,0,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,0.5052631578947369,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.45616109258017357,baseline,baseline_kept,9,0,0
cnn_openmax,3,1,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,0.8380281690140845,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.1571521764501444,baseline,baseline_kept,9,0,0
cnn_openmax,3,2,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,0.8380281690140845,1.0,1.0,1.0,0.000000,0.000000,0.0,1.000000,1.000000,0.0,0.13486692707651152,baseline,baseline_kept,9,0,0
