model,task,regime,auprc,balanced_accuracy,h_score,ece,auroc,brier,nll
CNN,0→1,closed-set,0.779,75.81,56.31,,,,
CNN,0→2,closed-set,0.815,72.58,55.49,,,,
CNN,0→3,partial-set,0.88,68.97,53.86,,,,
CNN,1→0,partial-set,0.862,84.78,55.91,,,,
CNN,1→2,open-set,0.667,48.39,54.27,,,,
CNN,1→3,open-set,0.667,18.75,42.07,,,,
CNN,2→0,open-set,0.8,36.36,54.15,,,,
CNN,2→1,open-set,0.5,40.0,53.23,,,,
CNN,2→3,universal,0.63,37.5,46.94,,,,
CNN,3→0,universal,0.71,41.94,49.72,,,,
CNN,3→1,universal,0.67,85.71,54.14,,,,
CNN,3→2,universal,0.67,85.71,48.45,,,,
CNN-SA,0→1,closed-set,0.802,83.33,63.95,,,,
CNN-SA,0→2,closed-set,0.875,87.1,59.16,,,,
CNN-SA,0→3,partial-set,0.873,75.86,52.09,,,,
CNN-SA,1→0,partial-set,0.741,92.86,58.75,,,,
CNN-SA,1→2,open-set,0.667,51.62,56.84,,,,
CNN-SA,1→3,open-set,0.667,37.5,59.27,,,,
CNN-SA,2→0,open-set,0.8,36.36,56.72,,,,
CNN-SA,2→1,open-set,0.5,40.0,57.56,,,,
CNN-SA,2→3,universal,0.72,40.63,59.77,,,,
CNN-SA,3→0,universal,0.6,41.94,61.73,,,,
CNN-SA,3→1,universal,0.67,78.87,64.03,,,,
CNN-SA,3→2,universal,0.67,83.8,77.11,,,,
CNN-OpenMax-SA,0→1,closed-set,0.869,72.58,57.45,,,,
CNN-OpenMax-SA,0→2,closed-set,0.858,79.03,56.59,,,,
CNN-OpenMax-SA,0→3,partial-set,0.911,79.31,55.69,,,,
CNN-OpenMax-SA,1→0,partial-set,0.75,92.82,61.56,,,,
CNN-OpenMax-SA,1→2,open-set,0.667,51.62,54.84,,,,
CNN-OpenMax-SA,1→3,open-set,0.667,28.13,51.02,,,,
CNN-OpenMax-SA,2→0,open-set,0.78,31.82,58.03,,,,
CNN-OpenMax-SA,2→1,open-set,0.5,40.0,58.16,,,,
CNN-OpenMax-SA,2→3,universal,0.83,37.5,53.32,,,,
CNN-OpenMax-SA,3→0,universal,0.74,41.94,59.97,,,,
CNN-OpenMax-SA,3→1,universal,0.67,83.81,71.8,,,,
CNN-OpenMax-SA,3→2,universal,0.67,83.8,68.81,,,,
WideResNet,0→1,closed-set,0.873,81.58,59.36,,,,
WideResNet,0→2,closed-set,0.766,79.0,54.63,,,,
WideResNet,0→3,partial-set,0.72,68.97,54.34,,,,
WideResNet,1→0,partial-set,0.75,92.84,54.2,,,,
WideResNet,1→2,open-set,0.667,51.62,61.31,,,,
WideResNet,1→3,open-set,0.667,37.5,59.27,,,,
WideResNet,2→0,open-set,0.65,36.36,54.57,,,,
WideResNet,2→1,open-set,0.5,40.0,49.44,,,,
WideResNet,2→3,universal,0.83,40.63,55.63,,,,
WideResNet,3→0,universal,0.7,41.94,55.04,,,,
WideResNet,3→1,universal,0.67,83.81,73.63,,,,
WideResNet,3→2,universal,0.67,83.8,69.13,,,,
WideResNet-SA,0→1,closed-set,0.875,85.48,60.04,,,,
WideResNet-SA,0→2,closed-set,0.844,80.0,64.53,,,,
WideResNet-SA,0→3,partial-set,0.54,55.17,47.17,,,,
WideResNet-SA,1→0,partial-set,0.889,76.05,51.64,,,,
WideResNet-SA,1→2,open-set,0.667,51.62,53.1,,,,
WideResNet-SA,1→3,open-set,0.667,34.38,50.57,,,,
WideResNet-SA,2→0,open-set,0.8,36.36,52.49,,,,
WideResNet-SA,2→1,open-set,0.5,40.0,54.19,,,,
WideResNet-SA,2→3,universal,0.83,40.63,56.99,,,,
WideResNet-SA,3→0,universal,0.83,41.94,61.07,,,,
WideResNet-SA,3→1,universal,0.67,66.9,61.69,,,,
WideResNet-SA,3→2,universal,0.67,83.8,78.45,,,,
WideResNet-OpenMax-SA,0→1,closed-set,0.875,85.48,64.91,,,,
WideResNet-OpenMax-SA,0→2,closed-set,0.875,83.33,55.49,,,,
WideResNet-OpenMax-SA,0→3,partial-set,0.634,68.97,54.34,,,,
WideResNet-OpenMax-SA,1→0,partial-set,0.75,92.85,60.55,,,,
WideResNet-OpenMax-SA,1→2,open-set,0.667,50.53,59.57,,,,
WideResNet-OpenMax-SA,1→3,open-set,0.667,37.5,55.96,,,,
WideResNet-OpenMax-SA,2→0,open-set,0.72,22.73,41.98,,,,
WideResNet-OpenMax-SA,2→1,open-set,0.5,40.0,53.15,,,,
WideResNet-OpenMax-SA,2→3,universal,0.83,40.63,60.84,,,,
WideResNet-OpenMax-SA,3→0,universal,0.83,50.53,59.95,,,,
WideResNet-OpenMax-SA,3→1,universal,0.67,85.71,59.45,,,,
WideResNet-OpenMax-SA,3→2,universal,0.67,85.71,59.07,,,,
